chi_name,eng_name,player_id
陳俊輝,CHEN Chun Huei,L0F5
黃高俊,NA,G017
蔣智聰,NA,R077
張正憲,NA,C037
高健龍,NA,B088
高瑋,NA,G076
陳致鵬,NA,G077
簡富智,NA,R117
郭健瑜,NA,R410
沈俊忠,NA,B001
克魯茲,Hector Dela,E015
葉長龍,NA,W0A9
林怡宏,NA,T068
林威助,LIN Wei Chu,E0K0
涂忠男,NA,B002
吳英偉,NA,E032
高正偉,NA,L083
廖述仁,NA,D054
大帝士,Bernardo Tatis,D012
劉家豪,LIU Chia Hao,R069
布雷,Tilson Brito,L0H6
陳俊和,NA,D022
陳炳男,NA,D065
李文傳,NA,E025
曾揚岳,NA,B097
艾勃,Harper Milton,D044
黃自強,NA,T000
鄭景益,NA,G011
藍文成,NA,T026
楊進雄,NA,B0A7
洪德芳,NA,E079
高俊強,NA,R024
鄭乃文,NA,R008
董永興,NA,E051
施昭同,NA,B090
買嘉儀,MAI Chia I,R340
石彥緯,NA,A059
吳承翰,NA,G019
蘇煒智,NA,L0A5
羅曼,Miguel Roman,L010
邱麒璋,NA,E059
法蘭克,Manuel Francois,D038
馬斯,Mathis Huff,D035
黃清文,NA,D033
羅偉,Hector Roa,L060
張家豪,NA,B038
潘瑞雄,NA,W018
武建州,NA,D080
拉飛力,Rafaelito Mercedez,W008
張家源,NA,L0F4
楊章鑫,NA,C003
蔡明覺,NA,R576
勃朗,Darrell Brown,E011
凱斯,Patrick Smith,D039
周正雄,NA,W076
謝炫任,NA,R493
謝奇勳,NA,C027
郭昌庭,NA,A012
鄭文賢,NA,D063
黃小偉,NA,A056
吉彌,Jim Ward,D004
林義翔,NA,G012
愛快,Brian Giles,C029
林政億,LIN Cheng I,R599
王峻杰,WANG Chun Chieh,R681
郭修延,NA,R206
楊煜堂,NA,W023
安收多,James Maurer,B067
陳宗男,NA,B059
詹姆士,James Bishop,B042
游宗龍,NA,T011
王俊文,NA,A008
怪力男,Jay Kirkpatrick,B065
孫家濬,NA,T051
蔡昱詳,TSAI Yu Hsiang,A010
麥克,Michael Bosco,B000
黃信福,NA,L0C1
李義偉,NA,R258
林建宏,NA,A029
陳昭穎,NA,A007
陳家偉,NA,L0F6
羅強,Ronald Jones,B036
許堯淵,NA,A018
方昶詠,NA,R579
陳威儒,NA,R501
陳柏丞,NA,R298
曾家賢,NA,R023
柯良宗,NA,G008
陳永哲,NA,R022
帝多,Juan Bell,B050
卡內基,Brian Cornelius,T0A2
李育儒,NA,R418
吳俊賢,NA,C008
林馴偉,NA,E0E3
黃智培,NA,R350
蔡宗佑,NA,R058
邱敏舜,NA,B0A5
林正偉,NA,E071
喬坎那,George Canale,D072
卡洛斯,Carlos Villalobos,W0F3
呂嘉明,NA,T066
許人介,NA,R182
孫長川,NA,L016
耐克,Jim Negrych,E0K4
陳慶國,NA,C000
翁再生,NA,R001
陳保宏,NA,G020
陳俊智,NA,T014
丹尼歐,Denio Gonzalez,C040
施翔凱,NA,G058
泰甘力,Telmanch Gainey,W069
王聖徹,NA,W045
劉忠岳,NA,B075
許志豪,NA,G007
羅得,Fredinand Rodriguez,L070
克龍,Cristobal Martinez,T072
吉見宏明,Yoshimi Hiroaki,L0D1
祈美力,Joel Chimelis,E065
開農,Sergio Cairo,B041
邱俊文,NA,W0D2
百樂,Juan Parra,W044
楊福群,NA,T057
張淯虎,NA,R497
瑞克,Rick Bernardo,L050
